,start,end,day,id
1986,['2019-08-01 00:00:44'],['2019-08-01 14:01:44'],0,1419
1987,['2019-08-01 00:00:45'],['2019-08-01 14:00:45'],0,1418
1988,['2019-08-01 00:00:31'],['2019-09-15 23:59:31'],45,1417
1989,['2019-08-01 00:00:28'],['2019-09-15 23:59:28'],45,1415
1990,['2019-08-01 00:00:27'],['2019-09-05 18:58:27'],35,1412
1991,['2019-08-01 00:00:21'],['2019-08-01 14:00:21'],0,1409
1992,['2019-08-01 00:00:23'],['2019-09-05 18:58:23'],35,1408
1993,['2019-08-01 00:00:21'],['2019-09-05 18:58:21'],35,1406
1994,['2019-08-01 00:00:20'],['2019-09-05 18:58:20'],35,1405
1995,['2019-08-01 00:00:18'],['2019-09-15 23:59:18'],45,1404
1996,['2019-08-01 00:00:11'],['2019-09-15 23:59:11'],45,1403
1997,['2019-08-01 00:00:17'],['2019-08-01 14:00:17'],0,1402
1998,['2019-08-01 00:00:12'],['2019-09-15 23:59:12'],45,1400
1999,['2019-08-01 00:00:16'],['2019-08-01 14:00:16'],0,1399
2000,['2019-08-01 00:00:55'],['2019-08-01 13:59:55'],0,1391
2001,['2019-08-01 00:00:25'],['2019-09-15 23:59:25'],45,1390
2002,['2019-08-01 00:00:50'],['2019-08-01 13:59:50'],0,1389
2003,['2019-08-01 00:00:48'],['2019-08-01 13:59:48'],0,1387
2004,['2019-08-01 00:00:39'],['2019-08-01 14:00:39'],0,1374
2005,['2019-08-01 00:00:36'],['2019-08-01 14:01:36'],0,1372
2006,['2019-08-01 00:00:35'],['2019-09-15 23:59:35'],45,1370
2007,['2019-08-01 00:00:21'],['2019-09-15 23:59:21'],45,1360
2008,['2019-08-01 00:00:42'],['2019-09-15 23:59:42'],45,1353
2009,['2019-08-01 00:00:54'],['2019-09-15 23:37:54'],45,1348
2010,['2019-08-01 00:00:48'],['2019-08-01 14:00:48'],0,1345
2011,['2019-08-01 00:00:47'],['2019-08-01 14:00:47'],0,1344
2012,['2019-08-01 00:00:45'],['2019-09-15 23:59:45'],45,1343
2013,['2019-08-01 00:00:44'],['2019-09-15 23:59:44'],45,1342
2014,['2019-08-01 00:00:39'],['2019-09-15 23:59:39'],45,1340
2015,['2019-08-01 00:00:31'],['2019-09-15 23:37:31'],45,1334
2016,['2019-08-01 00:01:26'],['2019-09-05 18:58:26'],35,1331
2017,['2019-08-01 00:00:24'],['2019-09-05 18:58:24'],35,1326
2018,['2019-08-01 00:00:22'],['2019-09-15 23:59:22'],45,1325
2019,['2019-08-01 00:00:17'],['2019-09-15 23:59:17'],45,1324
2020,['2019-08-01 00:00:04'],['2019-08-31 14:05:04'],30,1323
2021,['2019-08-01 00:00:02'],['2019-09-05 18:58:02'],35,1322
2022,['2019-08-01 00:00:55'],['2019-09-02 13:02:55'],32,1315
2023,['2019-08-01 00:00:46'],['2019-08-01 14:00:46'],0,1309
2024,['2019-08-01 00:00:43'],['2019-09-15 23:59:43'],45,1305
2025,['2019-08-01 00:00:42'],['2019-08-01 14:01:42'],0,1304
2026,['2019-08-01 00:00:40'],['2019-08-01 14:01:40'],0,1301
2027,['2019-08-01 00:00:38'],['2019-09-15 23:59:38'],45,1299
2028,['2019-08-01 00:00:37'],['2019-09-05 18:58:37'],35,1298
2029,['2019-08-01 00:00:35'],['2019-09-05 18:58:35'],35,1297
2030,['2019-08-01 00:00:36'],['2019-09-05 18:58:36'],35,1296
2031,['2019-08-01 00:00:34'],['2019-09-05 18:58:34'],35,1295
2032,['2019-08-01 00:00:53'],['2019-08-01 13:59:53'],0,1291
2033,['2019-08-01 00:00:32'],['2019-09-15 23:59:32'],45,1289
2034,['2019-08-01 00:00:31'],['2019-09-05 18:58:31'],35,1288
2035,['2019-08-01 00:00:30'],['2019-09-05 18:58:30'],35,1287
2036,['2019-08-01 00:00:32'],['2019-09-05 18:58:32'],35,1286
2037,['2019-08-01 00:00:30'],['2019-09-15 23:37:30'],45,1285
2038,['2019-08-01 00:00:37'],['2019-08-01 14:01:37'],0,1248
2039,['2019-08-01 00:00:15'],['2019-09-15 23:59:15'],45,1225
2040,['2019-08-01 00:00:03'],['2019-09-05 18:58:03'],35,1185
2041,['2019-08-01 00:00:00'],['2019-08-29 18:34:00'],28,1161
2042,['2019-08-01 00:00:00'],['2019-08-29 18:34:00'],28,1155
2043,['2019-08-01 00:00:00'],['2019-08-29 18:34:00'],28,1154
2044,['2019-08-01 00:00:00'],['2019-08-29 18:34:00'],28,1127
2045,['2019-08-01 00:00:00'],['2019-08-29 18:34:00'],28,1125
2046,['2019-08-01 00:00:00'],['2019-08-16 18:26:00'],15,1117
2047,['2019-08-01 00:00:00'],['2019-08-29 18:34:00'],28,1109
2048,['2019-08-01 00:00:00'],['2019-08-29 18:34:00'],28,1106
2049,['2019-08-01 00:00:00'],['2019-08-29 18:34:00'],28,1067
2050,['2019-08-01 00:00:00'],['2019-08-29 18:34:00'],28,1061
2051,['2019-08-01 00:00:00'],['2019-08-29 18:34:00'],28,1051
2052,['2019-08-01 00:00:00'],['2019-08-29 18:34:00'],28,1002
2053,['2019-08-01 00:00:00'],['2019-08-29 18:34:00'],28,989
2054,['2019-08-01 00:00:00'],['2019-08-29 18:34:00'],28,988
2055,['2019-08-01 00:00:00'],['2019-08-29 18:34:00'],28,971
2056,['2019-08-01 00:00:00'],['2019-08-29 18:34:00'],28,969
2057,['2019-08-01 00:00:00'],['2019-08-29 18:34:00'],28,968
2058,['2019-08-01 00:00:00'],['2019-08-29 18:34:00'],28,941
2059,['2019-08-01 00:00:00'],['2019-08-29 18:34:00'],28,929
2060,['2019-08-01 00:00:00'],['2019-08-16 18:26:00'],15,928
2061,['2019-08-01 00:00:00'],['2019-08-29 18:34:00'],28,909
2062,['2019-08-01 00:00:00'],['2019-08-29 18:34:00'],28,903
2063,['2019-08-01 00:00:00'],['2019-08-29 18:34:00'],28,898
2064,['2019-08-01 00:00:00'],['2019-08-29 18:34:00'],28,820
2065,['2019-08-01 00:00:00'],['2019-08-29 18:34:00'],28,814
2066,['2019-08-01 00:04:05'],['2019-09-15 23:04:05'],45,143
2067,['2019-08-01 00:04:03'],['2019-09-15 23:04:03'],45,142
2068,['2019-08-01 00:01:13'],['2019-09-15 23:01:13'],45,141
2069,['2019-08-01 00:01:11'],['2019-09-15 23:01:11'],45,140
2070,['2019-08-01 00:00:07'],['2019-08-01 14:00:07'],0,139
2071,['2019-08-01 00:00:14'],['2019-09-15 23:59:14'],45,138
2072,['2019-08-01 00:00:27'],['2019-08-01 14:00:27'],0,137
2073,['2019-08-01 00:00:26'],['2019-08-01 14:00:26'],0,136
2074,['2019-08-01 00:00:27'],['2019-08-01 14:00:27'],0,135
2075,['2019-08-01 00:00:13'],['2019-09-15 23:59:13'],45,134
