,id,max_time,min_time,11_days_length
625,9815,,,0
626,9814,,,0
627,9813,,,0
628,9812,,,0
629,9811,,,0
630,9810,,,0
631,9807,,,0
632,9806,,,0
633,9804,,,0
634,9802,,,0
635,9798,,,0
636,9793,,,0
637,9788,,,0
638,9786,,,0
639,9783,,,0
640,9781,,,0
641,9778,,,0
642,9775,,,0
643,9769,,,0
644,9768,,,0
645,9766,,,0
646,9759,,,0
647,9758,,,0
648,9757,,,0
649,9751,,,0
650,9748,,,0
651,9747,,,0
652,9746,,,0
653,9736,,,0
654,9735,,,0
655,9734,,,0
656,9733,2019-08-25 23:11:16,2019-08-15 00:11:16,250
657,9732,2019-08-25 23:11:14,2019-08-15 00:11:14,250
658,9714,,,0
659,9713,,,0
660,9707,,,0
661,9701,,,0
662,9700,,,0
663,9699,,,0
664,9693,,,0
665,9692,,,0
666,9690,,,0
667,9689,,,0
668,9688,,,0
669,9687,,,0
670,9686,,,0
671,9685,,,0
672,9680,2019-08-25 23:19:03,2019-08-15 00:19:03,251
673,9679,2019-08-25 23:19:01,2019-08-15 00:19:01,251
674,9664,,,0
675,9658,,,0
676,9656,,,0
677,9654,,,0
678,9653,,,0
679,9647,,,0
680,9645,,,0
681,9643,,,0
682,9620,,,0
683,9619,,,0
684,9618,,,0
685,9617,,,0
686,9615,,,0
687,9613,,,0
688,9610,,,0
689,9609,,,0
690,9608,,,0
691,9607,,,0
692,9605,,,0
693,9603,,,0
694,9576,,,0
695,9575,,,0
696,9574,,,0
697,9573,,,0
698,9572,,,0
699,9571,,,0
700,9570,,,0
701,9569,,,0
702,9568,,,0
703,9567,,,0
704,9563,,,0
705,9562,,,0
706,9561,,,0
707,9560,,,0
708,9559,,,0
709,9558,,,0
710,9557,,,0
711,9556,,,0
712,9555,,,0
713,9554,,,0
714,9553,,,0
715,9552,,,0
716,9551,,,0
717,9550,,,0
718,9549,,,0
719,9548,,,0
720,9547,,,0
721,9546,,,0
722,9545,,,0
723,9544,,,0
724,9543,,,0
725,9542,,,0
726,9541,,,0
727,9537,,,0
728,9536,,,0
729,9535,,,0
730,9532,,,0
731,9531,,,0
732,9530,,,0
733,9529,,,0
734,9528,,,0
735,9527,,,0
736,9526,,,0
737,9525,,,0
738,9524,,,0
739,9523,,,0
740,9522,2019-08-25 23:51:43,2019-08-15 00:51:43,249
741,9521,2019-08-25 23:51:41,2019-08-15 00:51:41,249
742,9520,2019-08-25 23:51:00,2019-08-15 00:51:00,249
743,9519,2019-08-25 23:50:58,2019-08-15 00:50:58,249
744,9514,2019-08-25 23:50:17,2019-08-15 00:50:17,249
745,9513,2019-08-25 23:50:15,2019-08-15 00:50:15,249
746,9460,,,0
747,9459,,,0
748,9458,,,0
749,9457,,,0
750,9456,,,0
751,9455,,,0
752,9453,,,0
753,9451,,,0
754,9449,,,0
755,9447,,,0
756,9445,,,0
757,9443,,,0
758,9442,,,0
759,9441,,,0
760,9440,,,0
761,9439,,,0
762,9438,,,0
763,9437,,,0
764,9436,,,0
765,9435,,,0
766,9434,,,0
767,9433,,,0
768,9432,,,0
769,9431,,,0
770,9430,,,0
771,9429,,,0
772,9428,,,0
773,9427,,,0
774,9426,,,0
775,9425,,,0
776,9424,,,0
777,9423,,,0
778,9422,,,0
779,9421,,,0
780,9420,,,0
781,9419,,,0
782,9418,,,0
783,9417,,,0
784,9415,,,0
785,9413,,,0
786,9404,,,0
787,9402,,,0
788,9401,,,0
789,9400,,,0
790,9395,,,0
791,9394,,,0
792,9393,,,0
793,9392,,,0
794,9391,,,0
795,9390,,,0
796,9389,,,0
797,9388,,,0
798,9387,,,0
799,9386,,,0
800,9385,,,0
801,9384,,,0
802,9383,,,0
803,9382,,,0
804,9381,,,0
805,9379,,,0
806,9376,,,0
807,9375,,,0
808,9374,,,0
809,9373,,,0
810,9372,,,0
811,9371,,,0
812,9370,,,0
813,9369,,,0
814,9368,,,0
815,9367,,,0
816,9366,,,0
817,9365,,,0
818,9364,,,0
819,9363,,,0
820,9362,,,0
821,9361,,,0
822,9360,,,0
823,9359,,,0
824,9358,,,0
825,9357,,,0
826,9356,,,0
827,9355,,,0
828,9354,,,0
829,9353,,,0
830,9352,,,0
831,9351,,,0
832,9350,,,0
833,9349,,,0
834,9348,,,0
835,9345,,,0
836,9344,,,0
837,9341,,,0
838,9339,,,0
839,9328,,,0
840,9327,,,0
841,9326,,,0
842,9325,,,0
843,9322,,,0
844,9321,,,0
845,9310,,,0
846,9309,,,0
847,9307,,,0
848,9306,,,0
849,9305,,,0
850,9304,,,0
851,9300,,,0
852,9298,,,0
853,9296,,,0
854,9293,,,0
855,9290,,,0
856,9289,,,0
857,9286,,,0
858,9285,,,0
859,9284,,,0
860,9282,,,0
861,9094,,,0
862,1807,,,0
863,1806,2019-08-25 23:28:37,2019-08-15 00:28:37,250
864,1805,2019-08-25 23:28:35,2019-08-15 00:28:35,250
865,1804,2019-08-25 23:04:48,2019-08-15 00:04:48,250
866,1803,2019-08-25 23:04:47,2019-08-15 00:04:46,250
867,1801,,,0
868,1797,2019-08-25 23:02:39,2019-08-15 00:02:39,250
869,1796,2019-08-25 23:02:37,2019-08-15 00:02:37,250
870,1791,2019-08-25 23:01:56,2019-08-15 00:01:56,250
871,1790,2019-08-25 23:01:54,2019-08-15 00:01:54,250
872,1789,,,0
873,1788,,,0
874,1787,,,0
875,1782,,,0
876,1781,,,0
877,1776,,,0
878,1775,,,0
879,1759,,,0
880,1754,,,0
881,1753,,,0
882,1752,,,0
883,1751,,,0
884,1750,,,0
885,1740,,,0
886,1739,,,0
887,1733,,,0
888,1716,,,0
889,1675,2019-08-25 23:03:22,2019-08-15 00:03:22,250
890,1674,2019-08-25 23:03:20,2019-08-15 00:03:20,250
891,1667,,,0
892,1663,,,0
893,1662,,,0
894,1656,,,0
895,1655,,,0
896,1654,,,0
897,1652,,,0
898,1651,,,0
899,1650,,,0
900,1649,,,0
901,1648,2019-08-25 23:59:47,2019-08-15 00:59:47,250
902,1647,2019-08-25 23:59:45,2019-08-15 00:59:45,250
903,1646,,,0
904,1642,,,0
905,1641,,,0
906,1640,,,0
907,1637,,,0
908,1630,,,0
909,1620,,,0
910,1606,,,0
911,1604,,,0
912,1603,,,0
913,1602,,,0
914,1601,,,0
915,1600,,,0
916,1599,,,0
917,1588,,,0
918,1585,,,0
919,1579,,,0
920,1576,,,0
921,1574,,,0
922,1573,,,0
923,1572,,,0
924,1560,,,0
925,1559,,,0
926,1558,,,0
927,1557,,,0
928,1556,,,0
929,1553,,,0
930,1545,,,0
931,1541,,,0
932,1540,2019-08-25 23:57:36,2019-08-15 00:57:36,251
933,1539,,,0
934,1538,2019-08-25 23:57:38,2019-08-15 00:57:38,251
935,1534,,,0
936,1510,,,0
937,1506,,,0
938,1502,,,0
939,1501,,,0
940,1496,,,0
941,1486,,,0
942,1482,,,0
943,1456,,,0
944,1444,,,0
945,1438,,,0
946,1437,,,0
947,1434,,,0
948,1433,,,0
949,1431,,,0
950,1427,,,0
951,1422,,,0
952,1421,,,0
953,1420,,,0
954,1419,,,0
955,1418,,,0
956,1409,,,0
957,1402,,,0
958,1399,,,0
959,1391,,,0
960,1389,,,0
961,1387,,,0
962,1374,,,0
963,1372,,,0
964,1357,,,0
965,1345,,,0
966,1344,,,0
967,1336,,,0
968,1330,,,0
969,1309,,,0
970,1304,,,0
971,1303,,,0
972,1301,,,0
973,1291,,,0
974,1248,,,0
975,143,2019-08-25 23:04:05,2019-08-15 00:04:05,250
976,142,2019-08-25 23:04:03,2019-08-15 00:04:03,250
977,141,2019-08-25 23:01:13,2019-08-15 00:01:13,250
978,140,2019-08-25 23:01:11,2019-08-15 00:01:11,250
979,139,,,0
980,137,,,0
981,136,,,0
982,135,,,0
983,133,,,0
984,132,,,0
985,131,,,0
986,130,,,0
987,129,,,0
988,128,,,0
989,127,,,0
990,123,,,0
991,121,,,0
992,118,,,0
993,116,,,0
994,115,,,0
995,114,,,0
996,112,,,0
997,111,,,0
998,101,,,0
999,97,,,0
1000,94,,,0
1001,90,,,0
1002,86,,,0
1003,84,,,0
1004,83,,,0
1005,82,,,0
1006,81,,,0
1007,80,,,0
1008,77,,,0
1009,74,,,0
1010,68,,,0
1011,66,,,0
1012,63,,,0
1013,55,,,0
1014,46,,,0
1015,45,,,0
1016,44,,,0
1017,42,,,0
1018,39,,,0
1019,38,,,0
1020,34,,,0
1021,31,,,0
1022,30,,,0
1023,29,,,0
1024,4,,,0
1025,3,,,0
