,timestamp,value
0,2019-08-25 12:00:32,3384
1,2019-08-25 12:01:32,3376
2,2019-08-25 12:02:32,3400
3,2019-08-25 12:03:32,3320
4,2019-08-25 12:04:32,3400
5,2019-08-25 12:05:32,3400
6,2019-08-25 12:06:32,3352
7,2019-08-25 12:07:32,3368
8,2019-08-25 12:08:32,3336
9,2019-08-25 12:09:32,3376
10,2019-08-25 12:10:32,3392
11,2019-08-25 12:11:32,3384
12,2019-08-25 12:12:32,3376
13,2019-08-25 12:13:32,3376
14,2019-08-25 12:14:32,3360
15,2019-08-25 12:15:32,3384
16,2019-08-25 12:16:32,3344
17,2019-08-25 12:17:32,3408
18,2019-08-25 12:18:32,3360
19,2019-08-25 12:19:32,3376
20,2019-08-25 12:20:32,3376
21,2019-08-25 12:21:32,3360
22,2019-08-25 12:22:32,3384
23,2019-08-25 12:23:32,3368
24,2019-08-25 12:24:32,3384
25,2019-08-25 12:25:32,3360
26,2019-08-25 12:26:32,3376
27,2019-08-25 12:27:32,3376
28,2019-08-25 12:28:32,3384
29,2019-08-25 12:29:32,3368
30,2019-08-25 12:30:32,3376
31,2019-08-25 12:31:32,3384
32,2019-08-25 12:32:32,3376
33,2019-08-25 12:33:32,3368
34,2019-08-25 12:34:32,3376
35,2019-08-25 12:35:32,3368
36,2019-08-25 12:36:32,3344
37,2019-08-25 12:37:32,3384
38,2019-08-25 12:38:32,3368
39,2019-08-25 12:39:32,3392
40,2019-08-25 12:40:32,3368
41,2019-08-25 12:41:32,3368
42,2019-08-25 12:42:32,3368
43,2019-08-25 12:43:32,3392
44,2019-08-25 12:44:32,3352
45,2019-08-25 12:45:32,3376
46,2019-08-25 12:46:32,3392
47,2019-08-25 12:47:32,3344
48,2019-08-25 12:48:32,3392
49,2019-08-25 12:49:32,3392
50,2019-08-25 12:50:32,3360
51,2019-08-25 12:51:32,3352
52,2019-08-25 12:52:32,3392
53,2019-08-25 12:53:32,3376
54,2019-08-25 12:54:32,3352
55,2019-08-25 12:55:32,3360
56,2019-08-25 12:56:32,3416
57,2019-08-25 12:57:32,3352
58,2019-08-25 12:58:32,3368
59,2019-08-25 12:59:32,3360
60,2019-08-25 13:00:32,3400
61,2019-08-25 13:01:32,3384
62,2019-08-25 13:02:32,3368
63,2019-08-25 13:03:32,3360
64,2019-08-25 13:04:32,3384
65,2019-08-25 13:05:32,3360
66,2019-08-25 13:06:32,3384
67,2019-08-25 13:07:32,3392
68,2019-08-25 13:08:32,3376
69,2019-08-25 13:09:32,3352
70,2019-08-25 13:10:32,3368
71,2019-08-25 13:11:32,3368
72,2019-08-25 13:12:32,3392
73,2019-08-25 13:13:32,3360
74,2019-08-25 13:14:32,3368
75,2019-08-25 13:15:32,3384
76,2019-08-25 13:16:32,3392
77,2019-08-25 13:17:32,3376
78,2019-08-25 13:18:32,3352
79,2019-08-25 13:19:32,3392
80,2019-08-25 13:20:32,3376
81,2019-08-25 13:21:32,3368
82,2019-08-25 13:22:32,3376
83,2019-08-25 13:23:32,3384
84,2019-08-25 13:24:32,3360
85,2019-08-25 13:25:32,3360
86,2019-08-25 13:26:32,3392
87,2019-08-25 13:27:32,3384
88,2019-08-25 13:28:32,3360
89,2019-08-25 13:29:32,3392
90,2019-08-25 13:30:32,3368
91,2019-08-25 13:31:32,3368
92,2019-08-25 13:32:32,3384
93,2019-08-25 13:33:32,3376
94,2019-08-25 13:34:32,3368
95,2019-08-25 13:35:32,3376
96,2019-08-25 13:36:32,3384
97,2019-08-25 13:37:32,3368
98,2019-08-25 13:38:32,3376
99,2019-08-25 13:39:32,3368
100,2019-08-25 13:40:32,3360
101,2019-08-25 13:41:32,3400
102,2019-08-25 13:42:32,3368
103,2019-08-25 13:43:32,3376
104,2019-08-25 13:44:32,3376
105,2019-08-25 13:45:32,3320
106,2019-08-25 13:46:32,3400
107,2019-08-25 13:47:32,3392
108,2019-08-25 13:48:32,3352
109,2019-08-25 13:49:32,3368
110,2019-08-25 13:50:32,3376
111,2019-08-25 13:51:32,3360
112,2019-08-25 13:52:32,3384
113,2019-08-25 13:53:32,3360
114,2019-08-25 13:54:32,3376
115,2019-08-25 13:55:32,3384
116,2019-08-25 13:56:32,3360
117,2019-08-25 13:57:32,3376
118,2019-08-25 13:58:32,3376
119,2019-08-25 13:59:32,3368
120,2019-08-25 14:00:32,3376
121,2019-08-25 14:01:32,3384
122,2019-08-25 14:02:32,3384
123,2019-08-25 14:03:32,3376
124,2019-08-25 14:04:32,3384
125,2019-08-25 14:05:32,3368
126,2019-08-25 14:06:32,3360
127,2019-08-25 14:07:32,3392
128,2019-08-25 14:08:32,3376
129,2019-08-25 14:09:32,3384
130,2019-08-25 14:10:32,3368
131,2019-08-25 14:11:32,3352
132,2019-08-25 14:12:32,3360
133,2019-08-25 14:13:32,3368
134,2019-08-25 14:14:32,3424
135,2019-08-25 14:15:32,3328
136,2019-08-25 14:16:32,3392
137,2019-08-25 14:17:32,3368
138,2019-08-25 14:18:32,3376
139,2019-08-25 14:19:32,3368
140,2019-08-25 14:20:32,3360
141,2019-08-25 14:21:32,3368
142,2019-08-25 14:22:32,3384
143,2019-08-25 14:23:32,3384
144,2019-08-25 14:24:32,3368
145,2019-08-25 14:25:32,3376
146,2019-08-25 14:26:32,3384
147,2019-08-25 14:27:32,3368
148,2019-08-25 14:28:32,3368
149,2019-08-25 14:29:32,3384
150,2019-08-25 14:30:32,3360
151,2019-08-25 14:31:32,3384
152,2019-08-25 14:32:32,3360
153,2019-08-25 14:33:32,3392
154,2019-08-25 14:34:32,3360
155,2019-08-25 14:35:32,3352
156,2019-08-25 14:36:32,3392
157,2019-08-25 14:37:32,3352
158,2019-08-25 14:38:32,3376
159,2019-08-25 14:39:32,3376
160,2019-08-25 14:40:32,3384
161,2019-08-25 14:41:32,3368
162,2019-08-25 14:42:32,3368
163,2019-08-25 14:43:32,3344
164,2019-08-25 14:44:32,3376
165,2019-08-25 14:45:32,3424
166,2019-08-25 14:46:32,3368
167,2019-08-25 14:47:32,3344
168,2019-08-25 14:48:32,3376
169,2019-08-25 14:49:32,3384
170,2019-08-25 14:50:32,3368
171,2019-08-25 14:51:32,3360
172,2019-08-25 14:52:32,3376
173,2019-08-25 14:53:32,3360
174,2019-08-25 14:54:32,3368
175,2019-08-25 14:55:32,3408
176,2019-08-25 14:56:32,3336
177,2019-08-25 14:57:32,3392
178,2019-08-25 14:58:32,3352
179,2019-08-25 14:59:32,3424
180,2019-08-25 15:00:32,3360
181,2019-08-25 15:01:32,3376
182,2019-08-25 15:02:32,3368
183,2019-08-25 15:03:32,3376
