,id,event_num
0,10883,0
1,10882,0
2,10881,0
3,10880,0
4,10879,0
5,10877,0
6,10876,0
7,10875,0
8,10874,0
9,10873,0
10,10872,0
11,10869,0
12,10868,8
13,10866,0
14,10865,3
15,10864,0
16,10858,0
17,10857,3
18,10856,0
19,10854,0
20,10851,0
21,10844,2
22,10842,1
23,10841,0
24,10839,0
25,10838,20
26,10836,0
27,10835,0
28,10834,0
29,10833,2
30,10831,0
31,10830,21
32,10827,0
33,10825,0
34,10824,0
35,10821,0
36,10820,23
37,10818,33
38,10817,0
39,10815,0
40,10814,20
41,10811,23
42,10810,17
43,10809,25
44,10808,0
45,10803,34
46,10802,29
47,10801,32
48,10800,35
49,10799,28
50,10798,33
51,10796,42
52,10794,0
53,10793,0
54,10792,29
55,10789,24
56,10788,28
57,10787,18
58,10785,0
59,10784,0
60,10783,0
61,10781,26
62,10780,22
63,10779,19
64,10778,21
65,10777,34
66,10451,0
67,10448,5
68,10443,0
69,10442,0
70,10440,0
71,10438,1
72,10436,0
73,10432,0
74,10431,0
75,10428,0
76,10427,0
77,10426,0
78,10425,0
79,10424,0
80,10423,0
81,10421,0
82,10417,0
83,10408,0
84,10400,0
85,10398,0
86,10396,0
87,10387,0
88,10386,0
89,10384,0
90,10377,0
91,10372,0
92,10351,0
93,10341,0
94,10331,0
95,10330,0
96,10329,0
97,10280,0
98,10266,0
99,10264,0
100,10263,0
101,10253,0
102,10248,0
103,10247,0
104,10246,0
105,10243,0
106,10242,0
107,10241,0
108,10238,0
109,10236,0
110,10234,0
111,10217,0
112,10204,0
113,10202,0
114,10200,0
115,10177,0
116,10169,0
117,10032,0
118,9983,0
119,9975,0
120,9967,0
121,9959,0
122,9930,0
123,9927,0
124,9911,0
125,9891,0
126,9890,0
127,9869,0
128,9868,0
129,9867,0
130,9866,0
131,9865,0
132,9864,0
133,9863,0
134,9862,0
135,9861,0
136,9860,0
137,9859,0
138,9858,0
139,9857,0
140,9856,0
141,9855,0
142,9854,0
143,9853,0
144,9852,0
145,9851,0
146,9850,0
147,9849,0
148,9848,0
149,9847,0
150,9846,0
151,9845,0
152,9844,0
153,9843,0
154,9842,0
155,9841,0
156,9840,0
157,9839,0
158,9838,0
159,9837,0
160,9836,0
161,9835,0
162,9834,0
163,9833,0
164,9832,0
165,9831,0
166,9830,0
167,9829,0
168,9828,0
169,9827,0
170,9825,0
171,9824,0
172,9823,0
173,9822,0
174,9821,0
175,9817,0
176,9816,0
177,9815,0
178,9813,0
179,9812,0
180,9811,0
181,9810,0
182,9809,0
183,9808,0
184,9807,0
185,9806,0
186,9805,0
187,9803,0
188,9801,0
189,9800,0
190,9799,0
191,9798,0
192,9797,0
193,9796,0
194,9795,0
195,9794,0
196,9792,0
197,9791,0
198,9790,0
199,9789,0
200,9788,0
201,9787,0
202,9785,0
203,9784,0
204,9782,0
205,9780,0
206,9779,0
207,9777,0
208,9776,0
209,9774,0
210,9773,0
211,9772,0
212,9769,0
213,9768,0
214,9745,0
215,9744,0
216,9743,0
217,9742,0
218,9740,0
219,9737,0
220,9735,0
221,9734,0
222,9731,0
223,9730,0
224,9729,0
225,9728,0
226,9727,0
227,9726,0
228,9724,0
229,9723,0
230,9721,0
231,9720,0
232,9719,0
233,9718,0
234,9717,0
235,9715,0
236,9714,0
237,9713,0
238,9712,0
239,9711,0
240,9710,0
241,9709,0
242,9688,0
243,9687,0
244,9686,0
245,9685,0
246,9684,0
247,9683,0
248,9681,0
249,9678,0
250,9677,0
251,9676,0
252,9675,0
253,9674,2
254,9673,0
255,9671,0
256,9670,9
257,9669,4
258,9668,0
259,9667,0
260,9666,8
261,9665,0
262,9664,0
263,9663,0
264,9662,0
265,9661,0
266,9660,0
267,9659,0
268,9658,0
269,9657,0
270,9656,0
271,9655,0
272,9654,0
273,9653,0
274,9652,0
275,9651,0
276,9650,0
277,9649,0
278,9648,0
279,9647,0
280,9646,0
281,9645,0
282,9644,0
283,9643,0
284,9642,0
285,9641,1
286,9640,0
287,9639,0
288,9638,0
289,9637,0
290,9636,0
291,9635,0
292,9634,0
293,9633,0
294,9632,0
295,9631,0
296,9630,0
297,9629,0
298,9628,0
299,9627,0
300,9626,0
301,9625,0
302,9624,0
303,9622,0
304,9621,0
305,9619,0
306,9617,0
307,9616,0
308,9614,0
309,9612,0
310,9611,0
311,9610,0
312,9609,0
313,9606,0
314,9602,0
315,9601,0
316,9600,0
317,9599,0
318,9598,0
319,9597,0
320,9595,0
321,9593,0
322,9591,5
323,9590,0
324,9589,0
325,9588,0
326,9587,0
327,9586,0
328,9585,0
329,9583,4
330,9582,0
